season,started_month,started_day,weekday_type,started_hour_of_day,formatted_hour,member_casual,total_count,avg_duration,avg_distance
Summer,Jul,Wednesday,weekday,17,5 PM,member,9329,14.34,1.58
Fall,Sep,Wednesday,weekday,17,5 PM,member,9053,12.84,1.55
Spring,May,Wednesday,weekday,17,5 PM,member,8884,14.27,1.61
Fall,Sep,Monday,weekday,17,5 PM,member,8848,12.45,1.47
Fall,Oct,Wednesday,weekday,17,5 PM,member,8709,12.73,1.54
Fall,Sep,Thursday,weekday,17,5 PM,member,8679,12.62,1.52
Summer,Aug,Thursday,weekday,17,5 PM,member,8548,13.25,1.56
Summer,Jul,Tuesday,weekday,17,5 PM,member,8208,13.87,1.57
Summer,Jul,Monday,weekday,17,5 PM,member,8185,13.59,1.54
Fall,Oct,Tuesday,weekday,17,5 PM,member,8181,12.57,1.56
Fall,Sep,Tuesday,weekday,17,5 PM,member,8165,12.64,1.51
Fall,Oct,Thursday,weekday,17,5 PM,member,8123,12.31,1.51
Summer,Aug,Wednesday,weekday,17,5 PM,member,7574,13.34,1.61
Summer,Jul,Wednesday,weekday,16,4 PM,member,7455,13.03,1.57
Fall,Oct,Wednesday,weekday,16,4 PM,member,7284,11.97,1.49
Summer,Jun,Wednesday,weekday,17,5 PM,member,7261,14.17,1.63
Summer,Jun,Thursday,weekday,17,5 PM,member,7253,13.56,1.59
Spring,May,Wednesday,weekday,16,4 PM,member,7178,13.73,1.61
Fall,Sep,Wednesday,weekday,16,4 PM,member,7147,12.38,1.49
Summer,Jul,Wednesday,weekday,18,6 PM,member,7116,13.44,1.53
Fall,Sep,Monday,weekday,16,4 PM,member,7081,11.88,1.42
Summer,Jun,Tuesday,weekday,17,5 PM,member,7046,13.67,1.6
Summer,Aug,Tuesday,weekday,17,5 PM,member,7000,12.8,1.54
Fall,Oct,Thursday,weekday,16,4 PM,member,6905,11.95,1.5
Fall,Sep,Monday,weekday,18,6 PM,member,6884,12.12,1.37
Fall,Sep,Thursday,weekday,16,4 PM,member,6877,12.41,1.52
Fall,Sep,Wednesday,weekday,18,6 PM,member,6876,12.27,1.45
Fall,Oct,Tuesday,weekday,16,4 PM,member,6813,11.95,1.49
Spring,May,Thursday,weekday,17,5 PM,member,6808,13.79,1.58
Summer,Aug,Thursday,weekday,18,6 PM,member,6726,12.53,1.47
Summer,Aug,Friday,weekday,17,5 PM,member,6689,13.64,1.56
Summer,Aug,Thursday,weekday,16,4 PM,member,6678,12.95,1.56
Fall,Sep,Thursday,weekday,18,6 PM,member,6648,12.29,1.45
Fall,Sep,Wednesday,weekday,8,8 AM,member,6613,11.21,1.43
Summer,Jun,Monday,weekday,17,5 PM,member,6609,13.06,1.55
Summer,Jul,Tuesday,weekday,16,4 PM,member,6604,12.78,1.56
Summer,Jul,Monday,weekday,18,6 PM,member,6554,12.81,1.44
Fall,Sep,Tuesday,weekday,16,4 PM,member,6510,12.12,1.5
Summer,Aug,Monday,weekday,17,5 PM,member,6501,12.44,1.51
Fall,Oct,Tuesday,weekday,8,8 AM,member,6498,11.3,1.48
Spring,May,Wednesday,weekday,18,6 PM,member,6474,13.31,1.51
Fall,Oct,Wednesday,weekday,8,8 AM,member,6470,10.85,1.46
Fall,Sep,Friday,weekday,17,5 PM,member,6459,12.73,1.45
Fall,Sep,Thursday,weekday,8,8 AM,member,6427,10.87,1.44
Spring,May,Friday,weekday,17,5 PM,member,6363,13.91,1.52
Summer,Jul,Tuesday,weekday,8,8 AM,member,6361,11.77,1.52
Summer,Jul,Tuesday,weekday,18,6 PM,member,6315,12.82,1.49
Fall,Oct,Wednesday,weekday,18,6 PM,member,6301,12.18,1.43
Spring,Apr,Tuesday,weekday,17,5 PM,member,6217,13.36,1.52
Summer,Jul,Thursday,weekday,17,5 PM,member,6214,13.97,1.61
Summer,Jul,Monday,weekday,16,4 PM,member,6045,12.48,1.51
Spring,Apr,Monday,weekday,17,5 PM,member,6028,13.02,1.48
Summer,Aug,Friday,weekday,16,4 PM,member,6020,13.06,1.52
Summer,Aug,Saturday,weekend,15,3 PM,casual,6014,25.77,1.71
Spring,Apr,Tuesday,weekday,16,4 PM,member,5984,12.74,1.57
