end_station_name,end_station_id,member_casual,avg_latitude,avg_longitude,total_count,member_count,casual_count
Streeter Dr & Grand Ave,13022,casual,41.89,-87.61,46761,0,46761
DuSable Lake Shore Dr & Monroe St,13300,casual,41.88,-87.62,25514,0,25514
DuSable Lake Shore Dr & North Blvd,LF-005,casual,41.91,-87.63,24567,0,24567
Michigan Ave & Oak St,13042,casual,41.9,-87.62,21736,0,21736
Millennium Park,13008,casual,41.88,-87.62,21348,0,21348
Shedd Aquarium,15544,casual,41.87,-87.62,17245,0,17245
Theater on the Lake,TA1308000001,casual,41.93,-87.63,16441,0,16441
Dusable Harbor,KA1503000064,casual,41.89,-87.61,13955,0,13955
Wells St & Concord Ln,TA1308000050,casual,41.91,-87.63,11090,0,11090
Michigan Ave & Washington St,13001,casual,41.88,-87.62,10760,0,10760
Wabash Ave & Grand Ave,TA1307000117,casual,41.89,-87.63,10757,0,10757
Clark St & Lincoln Ave,13179,casual,41.92,-87.63,10654,0,10654
Michigan Ave & 8th St,623,casual,41.87,-87.62,10449,0,10449
Clark St & Armitage Ave,13146,casual,41.92,-87.64,10400,0,10400
Indiana Ave & Roosevelt Rd,SL-005,casual,41.87,-87.62,10205,0,10205
Clark St & Elm St,TA1307000039,casual,41.9,-87.63,9937,0,9937
Wells St & Elm St,KA1504000135,casual,41.9,-87.63,9798,0,9798
Adler Planetarium,13431,casual,41.87,-87.61,9246,0,9246
Kingsbury St & Kinzie St,KA1503000043,casual,41.89,-87.64,9191,0,9191
LaSalle St & Illinois St,13430,casual,41.89,-87.63,9109,0,9109
McClurg Ct & Ohio St,TA1306000029,casual,41.89,-87.62,8912,0,8912
New St & Illinois St,TA1306000013,casual,41.89,-87.62,8903,0,8903
Montrose Harbor,TA1308000012,casual,41.96,-87.64,8788,0,8788
Sheffield Ave & Waveland Ave,TA1307000126,casual,41.95,-87.65,8740,0,8740
Michigan Ave & Lake St,TA1305000011,casual,41.89,-87.62,8568,0,8568
Kingsbury St & Kinzie St,KA1503000043,member,41.89,-87.64,29345,29345,0
Clinton St & Washington Blvd,WL-012,member,41.88,-87.64,28439,28439,0
Clinton St & Madison St,TA1305000032,member,41.88,-87.64,25853,25853,0
Clark St & Elm St,TA1307000039,member,41.9,-87.63,24315,24315,0
Wells St & Concord Ln,TA1308000050,member,41.91,-87.63,20745,20745,0
Wells St & Elm St,KA1504000135,member,41.9,-87.63,20159,20159,0
Clinton St & Jackson Blvd,638,member,41.88,-87.64,20128,20128,0
State St & Chicago Ave,21544,member,41.9,-87.63,19590,19590,0
Canal St & Madison St,13341,member,41.88,-87.64,18722,18722,0
University Ave & 57th St,KA1503000071,member,41.79,-87.6,18694,18694,0
Canal St & Adams St,13011,member,41.88,-87.64,17437,17437,0
Larrabee St & Kingsbury St,TA1306000009,member,41.9,-87.64,17394,17394,0
Broadway & Barry Ave,13137,member,41.94,-87.64,16725,16725,0
Daley Center Plaza,TA1306000010,member,41.88,-87.63,16681,16681,0
Dearborn St & Erie St,13045,member,41.89,-87.63,16654,16654,0
Wells St & Hubbard St,TA1307000151,member,41.89,-87.63,16565,16565,0
Wilton Ave & Belmont Ave,TA1307000134,member,41.94,-87.65,16459,16459,0
Wells St & Huron St,TA1306000012,member,41.89,-87.63,16059,16059,0
DuSable Lake Shore Dr & North Blvd,LF-005,member,41.91,-87.63,16014,16014,0
Ellis Ave & 60th St,KA1503000014,member,41.79,-87.6,15982,15982,0
Morgan St & Polk St,TA1307000130,member,41.87,-87.65,15871,15871,0
Dearborn Pkwy & Delaware Pl,TA1307000128,member,41.9,-87.63,15252,15252,0
Sheffield Ave & Fullerton Ave,TA1306000016,member,41.93,-87.65,14912,14912,0
Desplaines St & Kinzie St,TA1306000003,member,41.89,-87.64,14784,14784,0
Loomis St & Lexington St,13332,member,41.87,-87.66,14757,14757,0
